id;login;first_name;last_name;email;phone_number
1;Arkansas Fresh Rufiyaa;Layla;Sawayn;Garrett32@gmail.com;Coordinator
2;Rustic Rubber;Tamia;Watsica;Donny83@yahoo.com;multi-byte
3;Ramp Account matrix;Cody;Klein;Stan43@hotmail.com;Liaison
4;purple;Adolphus;Marquardt;Houston54@yahoo.com;Designer Principe
5;frame;Jerel;Wintheiser;Godfrey.Goldner@hotmail.com;hacking Awesome niches
6;Persevering Books e-tailers;Ryann;Kuhlman;Walker.Cummerata@hotmail.com;Berkshire synergy Tasty
7;Granite;Angus;Leffler;Naomi.Heller@gmail.com;Frozen Barbados Table
8;24/7 e-commerce;Beth;Price;Peter_Aufderhar@hotmail.com;Computer
9;Reverse-engineered;Kadin;Hansen;Bennie_Bartoletti@yahoo.com;Frozen
10;User standardization;Destany;Larkin;Jessy.Kertzmann48@yahoo.com;viral invoice orchid
